"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","Cartão Inválido: 1234567890123456 -> Bandeira desconhecida","","Thu Apr 30 10:57:12 UTC 2026","passed","Thu Apr 30 10:57:12 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraDesconhecidaParaCartaoInvalido"
"","185","Cartão Válido: 340000000000009 -> American Express","","Thu Apr 30 10:57:11 UTC 2026","passed","Thu Apr 30 10:57:11 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraParaCartaoValido"
"","184","Cartão Válido: 6011000000000004 -> Discover","","Thu Apr 30 10:57:11 UTC 2026","passed","Thu Apr 30 10:57:12 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraParaCartaoValido"
"","166","Cartão Inválido: 2222222222222222 -> Bandeira desconhecida","","Thu Apr 30 10:57:12 UTC 2026","passed","Thu Apr 30 10:57:12 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraDesconhecidaParaCartaoInvalido"
"","172","Cartão Válido: 30000000000004 -> Diners Club","","Thu Apr 30 10:57:11 UTC 2026","passed","Thu Apr 30 10:57:11 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraParaCartaoValido"
"","177","Cartão Inválido: 000000000000000 -> Bandeira desconhecida","","Thu Apr 30 10:57:12 UTC 2026","passed","Thu Apr 30 10:57:12 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraDesconhecidaParaCartaoInvalido"
"","168","Cartão Inválido: 1111111111111111 -> Bandeira desconhecida","","Thu Apr 30 10:57:12 UTC 2026","passed","Thu Apr 30 10:57:12 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraDesconhecidaParaCartaoInvalido"
"","382","Cartão Válido: 4111111111111111 -> Visa","","Thu Apr 30 10:57:10 UTC 2026","passed","Thu Apr 30 10:57:11 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraParaCartaoValido"
"","188","Cartão Inválido: 9999999999999999 -> Bandeira desconhecida","","Thu Apr 30 10:57:12 UTC 2026","passed","Thu Apr 30 10:57:12 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraDesconhecidaParaCartaoInvalido"
"","223","Cartão Válido: 5500000000000004 -> Mastercard","","Thu Apr 30 10:57:11 UTC 2026","passed","Thu Apr 30 10:57:11 UTC 2026","","Testes da Página Validador de Bandeira de Cartão","io.github.julianachavespalm.validadorbandeiracartao.ValidadorBandeiraCartaoTest","deveExibirBandeiraParaCartaoValido"
